Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
Ontario City Library,215 E C St Ontario CA 91764-4111,US,Library Mail,3.72,1 lbs 
Great River Regional Library,1300 W Germain St Saint Cloud MN 56301-3414,US,Library Mail,3.72,1 lbs 
Pima County Public Library,101 N Stone Ave Tucson AZ 85701-1501,US,Library Mail,3.72,1 lbs 
Kuna Library,457 Locust Ave Kuna ID 83634-1926,US,Library Mail,3.72,1 lbs 
Santa Fe Public Library,145 Washington Ave Santa Fe NM 87501-2016,US,Library Mail,3.72,1 lbs 
Cokeville Branch Library,PO Box 69 240 E Main St Cokeville WY 83114-0069,US,Library Mail,3.72,1 lbs 
University of Wyoming Libraries,"1000 E University Ave, Dept 3334 Laramie WY 82071-2001",US,Library Mail,3.72,1 lbs 
Lawrence Public Library,707 Vermont St Lawrence KS 66044-2371,US,Library Mail,3.72,1 lbs 
Twin Falls Public Library,201 4th Ave E Twin Falls ID 83301-6313,US,Library Mail,3.72,1 lbs 
San Antonio Public Library,600 Soledad St San Antonio TX 78205-1200,US,Library Mail,3.72,1 lbs 
Phoenix Public Library,1221 N Central Ave Phoenix AZ 85004-1867,US,Library Mail,3.72,1 lbs 
Logan Library,950 W 600 N Logan UT 84321-7806,US,Library Mail,3.72,1 lbs 
Cedar Park Public Library,550 Discovery Blvd Cedar Park TX 78613-2200,US,Library Mail,3.72,1 lbs 
Oblate School of Theology,285 Oblate Dr San Antonio TX 78216-6693,US,Library Mail,3.72,1 lbs 
The University of Akron,302 Buchtel Mall Akron OH 44325-1706,US,Library Mail,3.72,1 lbs 
Fauquier County Public Library,11 Winchester St Warrenton VA 20186-2825,US,Library Mail,4.43,1 lbs 13 oz
Quincy Public Library,526 Jersey St Quincy IL 62301-3996,US,Library Mail,4.43,1 lbs 10.70 oz
Washington Corrections Center Library,PO Box 900 Shelton WA 98584-0974,US,Library Mail,4.43,2 lbs 
Kennesaw State University,"385 Cobb Ave NW, # MD-1701 Kennesaw GA 30144-5660",US,Library Mail,4.43,2 lbs 
Bates College,48 Campus Ave Lewiston ME 04240-6018,US,Library Mail,4.43,2 lbs 
San Jose Public Library,1 Washington Sq San Jose CA 95192-1000,US,Library Mail,4.43,2 lbs 
"University of California, Berkeley",133 Doe Library Berkeley CA 94720-6000,US,Library Mail,4.43,2 lbs 
Carnegie Library of Pittsburgh,50 Alexander St Pittsburgh PA 15220-5502,US,Library Mail,4.43,2 lbs 
University of Minnesota Duluth Library,416 Library Dr Duluth MN 55812-3001,US,Library Mail,4.43,2 lbs 
Jackson-George Regional Library System,3214 Pascagoula St Pascagoula MS 39567-4217,US,Library Mail,4.43,2 lbs 
Myrtle Kraft Library,PO Box 16552 2393 S Rock House Rd Portal AZ 85632-6552,US,Library Mail,4.43,2 lbs 
San Juan College Library,4601 College Blvd Farmington NM 87402-4699,US,Library Mail,4.43,2 lbs 
Brooklyn Public Library,10 Grand Army Plz Brooklyn NY 11238-5619,US,Library Mail,4.43,2 lbs 
Way Public Library,101 E Indiana Ave Perrysburg OH 43551-2295,US,Library Mail,4.43,2 lbs 
Pioneer Library System,300 Norman Center Ct Norman OK 73072-4867,US,Library Mail,4.43,2 lbs 
K.O. Lee Aberdeen Public Library,215 4th Ave SE Aberdeen SD 57401-4330,US,Library Mail,4.43,2 lbs 
Ascension Parish Library,708 S Irma Blvd Gonzales LA 70737-3616,US,Library Mail,4.43,2 lbs 
Rapides Parish Library,411 Washington St Alexandria LA 71301-8338,US,Library Mail,4.43,2 lbs 
Las Vegas-Clark County Library,7060 W Windmill Ln Las Vegas NV 89113-4678,US,Library Mail,4.43,2 lbs 
Southern Methodist University,PO Box 750135 6414 Robert S Hyer Ln Dallas TX 75275-0135,US,Library Mail,4.43,2 lbs 
University of Maine,5729 Fogler Library Orono ME 04469-5729,US,Library Mail,4.43,2 lbs 
"University of Nevada, Reno",1664 N Virginia St Mathewson-Igt Knowledge Ctr Reno NV 89557-1322,US,Library Mail,4.43,2 lbs 
Northern Arizona University,"PO Box 6022 1001 S Knoles Dr, Ste 28 Flagstaff AZ 86011-6022",US,Library Mail,4.43,2 lbs 
Wheaton College,501 College Ave Wheaton IL 60187-5593,US,Library Mail,4.43,2 lbs 
The University of the Arts,320 S Broad St Philadelphia PA 19102-4994,US,Library Mail,5.14,2 lbs 13.30 oz
Camas Public Library,625 NE 4th Ave Camas WA 98607-2109,US,Library Mail,5.14,2 lbs 6.60 oz
University of New Mexico,1 University Of New Mexico MSC05 3020 Albuquerque NM 87131-0001,US,Library Mail,5.14,2 lbs 2.20 oz
Dayton Metro Library,215 E 3rd St Dayton OH 45402-2103,US,Library Mail,5.14,2 lbs 3.50 oz
Syracuse University Libraries,222 Waverly Ave Syracuse NY 13244-2412,US,Library Mail,5.14,2 lbs 7.20 oz
Sam Houston State University,"1830 Bobby K. Marks Dr, Campus Box 2179 Huntsville TX 77341-2179",US,Library Mail,5.14,2 lbs 11.10 oz
Missoula Public Library,455 E Main St Missoula MT 59802-4799,US,Library Mail,5.85,3 lbs 14.90 oz
